Timestamp,Command,Command Bytes,Response,Response Bytes
2025-12-17T17:09:33.504214,CMD_GET_NAME,AA 40,@E728,AA 40 45 37 32 38
2025-12-17T17:09:43.989410,CMD_SET_FREQ,AA 43 00 00 03 E8,ERROR,
2025-12-17T17:09:46.096485,CMD_SET_BIAS,AA 46 00 00,ERROR,
2025-12-17T17:09:54.935721,CMD_SET_FREQ,AA 43 00 01 86 A0,ERROR,
2025-12-17T17:09:57.144252,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 01 86 A0 49 35 9C 80 BD 8A 27 0C
2025-12-17T17:09:59.349849,CMD_SET_FREQ,AA 43 00 01 AD B0,ERROR,
2025-12-17T17:10:01.555523,CMD_MEASURE,AA 48,None,AA 48 99 02 01 02 00 00 00 01 AD B0 49 35 AB 8A BD B6 44 75
2025-12-17T17:10:03.772202,CMD_SET_FREQ,AA 43 00 01 D4 C0,ERROR,
2025-12-17T17:10:05.986025,CMD_MEASURE,AA 48,None,AA 48 99 02 01 02 00 00 00 01 D4 C0 49 35 7E FE BD C6 E3 7E
2025-12-17T17:10:08.196288,CMD_SET_FREQ,AA 43 00 01 FB D0,ERROR,
2025-12-17T17:10:10.410982,CMD_MEASURE,AA 48,None,AA 48 99 02 01 02 00 00 00 01 FB D0 49 35 60 DA BD D7 2E E7
2025-12-17T17:10:12.621941,CMD_SET_FREQ,AA 43 00 02 22 E0,ERROR,
2025-12-17T17:10:14.835064,CMD_MEASURE,AA 48,None,AA 48 99 02 01 02 00 00 00 02 22 E0 49 35 2C 12 BD E7 88 75
2025-12-17T17:10:17.047896,CMD_SET_FREQ,AA 43 00 02 49 F0,ERROR,
2025-12-17T17:10:19.262485,CMD_MEASURE,AA 48,None,AA 48 99 02 01 02 00 00 00 02 49 F0 49 35 05 4B BD F8 4B 3C
2025-12-17T17:10:21.476244,CMD_SET_FREQ,AA 43 00 02 71 00,ERROR,
2025-12-17T17:10:23.686404,CMD_MEASURE,AA 48,None,AA 48 99 02 01 02 00 00 00 02 71 00 49 34 D1 9C BE 04 74 FF
2025-12-17T17:10:25.894348,CMD_SET_FREQ,AA 43 00 02 98 10,ERROR,
2025-12-17T17:10:28.106724,CMD_MEASURE,AA 48,None,AA 48 99 02 01 02 00 00 00 02 98 10 49 34 A2 42 BE 0C 94 18
2025-12-17T17:14:27.470425,CMD_GET_NAME,AA 40,@E728,AA 40 45 37 32 38
2025-12-17T17:14:40.793406,CMD_SET_FREQ,AA 43 00 00 06 A4,OK,AA 43
2025-12-17T17:14:40.896060,CMD_SET_BIAS,AA 46 00 00,OK,AA 46
2025-12-17T17:14:43.651479,CMD_SET_FREQ,AA 43 00 01 86 A0,OK,AA 43
2025-12-17T17:14:43.853686,CMD_MEASURE,AA 48,Z = 997.07019 Ω,80 03 01 05 00 00 00 00 00 01 86 A0 44 79 44 7E BB E1 9E E3 00 00
2025-12-17T17:14:44.057271,CMD_SET_FREQ,AA 43 00 01 AD B0,OK,AA 43
2025-12-17T17:14:44.260365,CMD_MEASURE,AA 48,Z = 966.847839 Ω,80 03 01 05 00 00 00 00 00 01 AD B0 44 71 B6 43 3B F3 A0 64 00 00
2025-12-17T17:14:44.462472,CMD_SET_FREQ,AA 43 00 01 D4 C0,OK,AA 43
2025-12-17T17:14:44.665776,CMD_MEASURE,AA 48,Z = 984.596863 Ω,80 03 01 05 00 00 00 00 00 01 D4 C0 44 76 26 33 3C 88 A1 48 00 00
2025-12-17T17:14:44.900683,CMD_SET_FREQ,AA 43 00 01 FB D0,OK,AA 43
2025-12-17T17:14:45.160011,CMD_MEASURE,AA 48,Z = 950.217712 Ω,80 03 01 05 00 00 00 00 00 01 FB D0 44 6D 8D EF 3C D7 75 0E 00 00
2025-12-17T17:14:45.366100,CMD_SET_FREQ,AA 43 00 02 22 E0,OK,AA 43
2025-12-17T17:14:45.570052,CMD_MEASURE,AA 48,Z = 950.895264 Ω,80 03 01 05 00 00 00 00 00 02 22 E0 44 6D B9 4C 3C D8 9B 10 00 00
2025-12-17T17:14:45.772903,CMD_SET_FREQ,AA 43 00 02 49 F0,OK,AA 43
2025-12-17T17:14:45.976338,CMD_MEASURE,AA 48,Z = 987.999634 Ω,80 03 01 05 00 00 00 00 00 02 49 F0 44 76 FF FA 3C 96 ED 54 00 00
2025-12-17T17:14:46.178236,CMD_SET_FREQ,AA 43 00 02 71 00,OK,AA 43
2025-12-17T17:14:46.381117,CMD_MEASURE,AA 48,Z = 1005.557312 Ω,80 03 01 05 00 00 00 00 00 02 71 00 44 7B 63 AB BA FA 10 FB 00 00
2025-12-17T17:14:46.582536,CMD_SET_FREQ,AA 43 00 02 98 10,OK,AA 43
2025-12-17T17:14:46.802657,CMD_MEASURE,AA 48,Z = 1021.040955 Ω,80 03 01 05 00 00 00 00 00 02 98 10 44 7F 42 9F 3B C8 39 26 00 00
2025-12-17T17:14:47.032400,CMD_SET_FREQ,AA 43 00 02 BF 20,OK,AA 43
